state,t,mean_signed_error,mean_signed_intres,mean_signed_diff
$\delta$,0.012212212197482586,-0.01992451585829258,-0.0005159637657925487,-0.01940855197608471
$\delta$,0.012312312610447407,-0.019924785941839218,-0.0005201373714953661,-0.01940464787185192
$\delta$,0.012412412092089653,-0.019925108179450035,-0.0005243106279522181,-0.019400794059038162
$\delta$,0.012512512505054474,-0.019925469532608986,-0.0005284834769554436,-0.019396988674998283
$\delta$,0.012612612918019295,-0.019925881177186966,-0.0005326560931280255,-0.019393224269151688
$\delta$,0.012712712399661541,-0.01992633566260338,-0.0005368282436393201,-0.019389506429433823
$\delta$,0.012812812812626362,-0.01992683857679367,-0.000541000219527632,-0.019385838881134987
$\delta$,0.012912913225591183,-0.019927382469177246,-0.0005451716715469956,-0.019382210448384285
$\delta$,0.013013012707233429,-0.019927969202399254,-0.0005493429489433765,-0.019378626719117165
$\delta$,0.01311311312019825,-0.019928602501749992,-0.000553513818886131,-0.019375089555978775
$\delta$,0.01321321353316307,-0.01992928422987461,-0.0005576843395829201,-0.019371598958969116
$\delta$,0.013313313014805317,-0.019930006936192513,-0.0005618544528260827,-0.01936815120279789
$\delta$,0.013413413427770138,-0.019930776208639145,-0.0005660242750309408,-0.019364750012755394
$\delta$,0.013513513840734959,-0.01993159018456936,-0.0005701938061974943,-0.019361397251486778
$\delta$,0.013613613322377205,-0.019932447001338005,-0.0005743628717027605,-0.019358085468411446
$\delta$,0.013713713735342026,-0.019933348521590233,-0.0005785317625850439,-0.019354818388819695
$\delta$,0.013813814148306847,-0.01993429660797119,-0.000582700246013701,-0.019351596012711525
$\delta$,0.013913913629949093,-0.019935287535190582,-0.0005868683219887316,-0.019348420202732086
$\delta$,0.014014014042913914,-0.019936323165893555,-0.0005910361069254577,-0.01934528909623623
$\delta$,0.014114114455878735,-0.019937405362725258,-0.0005952035426162183,-0.019342202693223953
$\delta$,0.01421421393752098,-0.019938530400395393,-0.0005993706290610135,-0.01933915913105011
$\delta$,0.014314314350485802,-0.01993969827890396,-0.0006035373662598431,-0.019336162135004997
$\delta$,0.014414414763450623,-0.01994091086089611,-0.0006077037542127073,-0.019333206117153168
$\delta$,0.014514514245092869,-0.019942166283726692,-0.0006118698511272669,-0.01933029666543007
$\delta$,0.01461461465805769,-0.019943466410040855,-0.0006160355405882001,-0.019327426329255104
$\delta$,0.01471471507102251,-0.01994480937719345,-0.0006202009972184896,-0.019324608147144318
$\delta$,0.014814814552664757,-0.019946197047829628,-0.0006243659881874919,-0.019321832805871964
$\delta$,0.014914914965629578,-0.019947629421949387,-0.0006285306299105287,-0.019319098442792892
$\delta$,0.015015015378594398,-0.01994910091161728,-0.0006326950388029218,-0.019316405057907104
$\delta$,0.015115114860236645,-0.019950617104768753,-0.0006368590984493494,-0.019313760101795197
$\delta$,0.015215215273201466,-0.019952179864048958,-0.0006410226924344897,-0.01931115984916687
$\delta$,0.015315315686166286,-0.019953785464167595,-0.0006451860535889864,-0.019308598712086678
$\delta$,0.015415415167808533,-0.019955432042479515,-0.0006493490072898567,-0.019306084141135216
$\delta$,0.015515515580773354,-0.019957127049565315,-0.0006535116699524224,-0.019303612411022186
$\delta$,0.015615615993738174,-0.01995885744690895,-0.0006576739833690226,-0.01930118165910244
$\delta$,0.015715716406702995,-0.019960634410381317,-0.0006618359475396574,-0.019298801198601723
$\delta$,0.015815814957022667,-0.019962454214692116,-0.0006659975624643266,-0.01929645612835884
$\delta$,0.015915915369987488,-0.019964316859841347,-0.0006701587699353695,-0.01929416134953499
$\delta$,0.01601601578295231,-0.01996622607111931,-0.0006743196863681078,-0.01929190568625927
$\delta$,0.01611611619591713,-0.019968174397945404,-0.0006784803699702024,-0.019289694726467133
$\delta$,0.01621621660888195,-0.019970163702964783,-0.0006826405297033489,-0.01928752101957798
$\delta$,0.01631631702184677,-0.019972195848822594,-0.0006868004566058517,-0.019285397604107857
$\delta$,0.016416415572166443,-0.019974276423454285,-0.000690959976054728,-0.019283313304185867
$\delta$,0.016516515985131264,-0.01997639425098896,-0.0006951192044652998,-0.01928127557039261
$\delta$,0.016616616398096085,-0.019978554919362068,-0.0006992780254222453,-0.019279280677437782
$\delta$,0.016716716811060905,-0.019980760291218758,-0.0007034365553408861,-0.01927732303738594
$\delta$,0.016816817224025726,-0.01998300850391388,-0.0007075948524288833,-0.01927541382610798
$\delta$,0.016916917636990547,-0.019985293969511986,-0.0007117526838555932,-0.019273541867733
$\delta$,0.01701701618731022,-0.019987624138593674,-0.0007159102242439985,-0.019271716475486755
$\delta$,0.01711711660027504,-0.019990000873804092,-0.0007200672989711165,-0.01926993392407894
$\delta$,0.01721721701323986,-0.019992412999272346,-0.0007242241408675909,-0.01926819048821926
$\delta$,0.01731731742620468,-0.01999487169086933,-0.0007283806917257607,-0.019266491755843163
$\delta$,0.017417417839169502,-0.01999736949801445,-0.0007325368351303041,-0.019264832139015198
$\delta$,0.017517518252134323,-0.019999910145998,-0.0007366926874965429,-0.019263219088315964
$\delta$,0.017617616802453995,-0.020002493634819984,-0.0007408480159938335,-0.019261647015810013
$\delta$,0.017717717215418816,-0.02000511810183525,-0.0007450032280758023,-0.019260115921497345
$\delta$,0.017817817628383636,-0.0200077835470438,-0.0007491579744964838,-0.01925862580537796
$\delta$,0.017917918041348457,-0.020010489970445633,-0.0007533124880865216,-0.01925717666745186
$\delta$,0.018018018454313278,-0.020013239234685898,-0.0007574664778076112,-0.01925577037036419
$\delta$,0.0181181188672781,-0.020016031339764595,-0.000761620351113379,-0.01925441063940525
$\delta$,0.01821821741759777,-0.020018864423036575,-0.0007657736423425376,-0.019253088161349297
$\delta$,0.01831831783056259,-0.020021731033921242,-0.0007699265843257308,-0.019251808524131775
$\delta$,0.018418418243527412,-0.020024647936224937,-0.0007740793516859412,-0.019250569865107536
$\delta$,0.018518518656492233,-0.020027602091431618,-0.0007782318280078471,-0.01924937218427658
$\delta$,0.018618619069457054,-0.020030595362186432,-0.0007823838386684656,-0.01924821361899376
$\delta$,0.018718719482421875,-0.020033635199069977,-0.0007865355000831187,-0.01924709975719452
$\delta$,0.018818818032741547,-0.020036716014146805,-0.0007906868122518063,-0.019246026873588562
$\delta$,0.018918918445706367,-0.020039834082126617,-0.0007948378333821893,-0.01924499310553074
$\delta$,0.01901901885867119,-0.020042993128299713,-0.0007989885634742677,-0.019244005903601646
$\delta$,0.01911911927163601,-0.020046193152666092,-0.0008031388861127198,-0.01924305409193039
$\delta$,0.01921921968460083,-0.020049436017870903,-0.0008072888595052063,-0.019242148846387863
$\delta$,0.01931932009756565,-0.020052719861268997,-0.0008114384836517274,-0.019241278991103172
$\delta$,0.019419418647885323,-0.020056040957570076,-0.0008155877003446221,-0.019240450114011765
$\delta$,0.019519519060850143,-0.020059406757354736,-0.0008197367424145341,-0.019239669665694237
$\delta$,0.019619619473814964,-0.020062806084752083,-0.0008238853770308197,-0.019238924607634544
$\delta$,0.019719719886779785,-0.02006625197827816,-0.0008280336624011397,-0.019238218665122986
$\delta$,0.019819820299744606,-0.02006973698735237,-0.0008321815985254943,-0.01923755556344986
$\delta$,0.019919920712709427,-0.020073261111974716,-0.0008363293018192053,-0.019236933439970016
$\delta$,0.0200200192630291,-0.020076826214790344,-0.0008404763648286462,-0.019236348569393158
$\delta$,0.02012011967599392,-0.020080432295799255,-0.0008446233114227653,-0.01923580840229988
$\delta$,0.02022022008895874,-0.020084073767066002,-0.0008487699669785798,-0.01923530362546444
$\delta$,0.02032032050192356,-0.02008775994181633,-0.000852916156873107,-0.01923484541475773
$\delta$,0.020420420914888382,-0.02009148895740509,-0.0008570621139369905,-0.019234420731663704
$\delta$,0.020520521327853203,-0.020095251500606537,-0.0008612075471319258,-0.01923404261469841
$\delta$,0.020620619878172874,-0.020099055022001266,-0.0008653527474962175,-0.0192337017506361
$\delta$,0.020720720291137695,-0.02010289579629898,-0.0008694976568222046,-0.019233400002121925
$\delta$,0.020820820704102516,-0.020106781274080276,-0.0008736421004869044,-0.019233139231801033
$\delta$,0.020920921117067337,-0.020110702142119408,-0.0008777862531132996,-0.019232917577028275
$\delta$,0.021021021530032158,-0.02011466957628727,-0.0008819300564937294,-0.0192327369004488
$\delta$,0.02112112194299698,-0.02011866867542267,-0.0008860735688358545,-0.019232597202062607
$\delta$,0.02122122049331665,-0.02012270875275135,-0.0008902166737243533,-0.01923249289393425
$\delta$,0.02132132090628147,-0.020126787945628166,-0.0008943594875745475,-0.019232429563999176
$\delta$,0.021421421319246292,-0.020130913704633713,-0.0008985018939711154,-0.019232410937547684
$\delta$,0.021521521732211113,-0.020135071128606796,-0.0009026441257447004,-0.019232425838708878
$\delta$,0.021621622145175934,-0.020139269530773163,-0.00090678600827232,-0.019232483580708504
$\delta$,0.021721722558140755,-0.020143508911132812,-0.0009109274251386523,-0.019232578575611115
$\delta$,0.021821821108460426,-0.020147785544395447,-0.0009150683763436973,-0.019232718273997307
$\delta$,0.021921921521425247,-0.020152097567915916,-0.0009192092111334205,-0.019232889637351036
$\delta$,0.022022021934390068,-0.020156458020210266,-0.0009233495802618563,-0.019233105704188347
$\delta$,0.02212212234735489,-0.020160846412181854,-0.0009274897165596485,-0.019233357161283493
$\delta$,0.02222222276031971,-0.020165281370282173,-0.0009316293871961534,-0.01923365145921707
$\delta$,0.02232232317328453,-0.020169749855995178,-0.0009357688832096756,-0.019233979284763336
$\delta$,0.022422421723604202,-0.020174257457256317,-0.0009399077971465886,-0.019234348088502884
$\delta$,0.022522522136569023,-0.02017880231142044,-0.0009440465946681798,-0.019234757870435715
$\delta$,0.022622622549533844,-0.020183393731713295,-0.0009481848683208227,-0.01923520863056183
$\delta$,0.022722722962498665,-0.02018801122903824,-0.000952322909142822,-0.01923569291830063
$\delta$,0.022822823375463486,-0.020192675292491913,-0.0009564605425111949,-0.019236216321587563
$\delta$,0.022922923788428307,-0.020197376608848572,-0.0009605980012565851,-0.01923677884042263
$\delta$,0.023023022338747978,-0.020202118903398514,-0.0009647347615100443,-0.01923738606274128
$\delta$,0.0231231227517128,-0.020206894725561142,-0.0009688716381788254,-0.019238024950027466
$\delta$,0.02322322316467762,-0.020211713388562202,-0.0009730078163556755,-0.019238704815506935
$\delta$,0.02332332357764244,-0.02021656557917595,-0.0009771438781172037,-0.01923942379653454
$\delta$,0.02342342399060726,-0.02022145688533783,-0.0009812794160097837,-0.019240178167819977
$\delta$,0.023523524403572083,-0.020226385444402695,-0.0009854147210717201,-0.0192409697920084
$\delta$,0.023623622953891754,-0.020231351256370544,-0.000989549676887691,-0.019241804257035255
$\delta$,0.023723723366856575,-0.020236356183886528,-0.0009936842834576964,-0.019242675974965096
$\delta$,0.023823823779821396,-0.020241403952240944,-0.0009978185407817364,-0.01924358308315277
$\delta$,0.023923924192786217,-0.020246481522917747,-0.0010019525652751327,-0.01924452930688858
$\delta$,0.024024024605751038,-0.020251600071787834,-0.0010060861241072416,-0.019245514646172523
$\delta$,0.02412412501871586,-0.020256752148270607,-0.0010102193336933851,-0.01924653723835945
$\delta$,0.02422422356903553,-0.02026195079088211,-0.001014352310448885,-0.019247597083449364
$\delta$,0.02432432398200035,-0.0202671829611063,-0.0010184847051277757,-0.01924869790673256
$\delta$,0.024424424394965172,-0.020272448658943176,-0.0010226168669760227,-0.01924983039498329
$\delta$,0.024524524807929993,-0.02027774788439274,-0.0010267487959936261,-0.019251001998782158
$\delta$,0.024624625220894814,-0.02028309553861618,-0.0010308802593499422,-0.019252212718129158
$\delta$,0.024724725633859634,-0.02028847485780716,-0.0010350116062909365,-0.019253460690379143
$\delta$,0.024824824184179306,-0.020293889567255974,-0.0010391422547399998,-0.01925474964082241
$\delta$,0.024924924597144127,-0.020299341529607773,-0.0010432727867737412,-0.019256070256233215
$\delta$,0.025025025010108948,-0.020304832607507706,-0.0010474029695615172,-0.019257428124547005
$\delta$,0.02512512542307377,-0.02031036466360092,-0.0010515328031033278,-0.019258828833699226
$\delta$,0.02522522583603859,-0.020315928384661674,-0.001055662170983851,-0.019260264933109283
$\delta$,0.02532532624900341,-0.020321525633335114,-0.0010597914224490523,-0.019261736422777176
$\delta$,0.025425424799323082,-0.020327161997556686,-0.0010639202082529664,-0.019263243302702904
$\delta$,0.025525525212287903,-0.020332837477326393,-0.0010680485283955932,-0.019264787435531616
$\delta$,0.025625625625252724,-0.020338546484708786,-0.001072176732122898,-0.019266372546553612
$\delta$,0.025725726038217545,-0.020344292744994164,-0.0010763044701889157,-0.019267991185188293
$\delta$,0.025825826451182365,-0.020350079983472824,-0.0010804318590089679,-0.01926964707672596
$\delta$,0.025925925001502037,-0.02035589888691902,-0.0010845590149983764,-0.01927134022116661
$\delta$,0.026026025414466858,-0.020361755043268204,-0.0010886858217418194,-0.019273072481155396
$\delta$,0.02612612582743168,-0.02036764845252037,-0.001092812162823975,-0.019274836406111717
$\delta$,0.0262262262403965,-0.020373577252030373,-0.0010969381546601653,-0.019276641309261322
$\delta$,0.02632632665336132,-0.020379548892378807,-0.0011010639136657119,-0.019278481602668762
$\delta$,0.02642642706632614,-0.02038554660975933,-0.0011051892070099711,-0.019280357286334038
$\delta$,0.026526525616645813,-0.020391585305333138,-0.0011093143839389086,-0.01928226836025715
$\delta$,0.026626626029610634,-0.020397653803229332,-0.0011134390952065587,-0.019284216687083244
$\delta$,0.026726726442575455,-0.02040376514196396,-0.0011175633408129215,-0.019286200404167175
$\delta$,0.026826826855540276,-0.02040991000831127,-0.0011216872371733189,-0.01928822323679924
$\delta$,0.026926927268505096,-0.02041609212756157,-0.0011258110171183944,-0.01929028332233429
$\delta$,0.027027027681469917,-0.02042231336236,-0.0011299343314021826,-0.019292375072836876
$\delta$,0.02712712623178959,-0.02042856439948082,-0.0011340572964400053,-0.019294505938887596
$\delta$,0.02722722664475441,-0.020434848964214325,-0.0011381799122318625,-0.019296670332551003
$\delta$,0.02732732705771923,-0.020441172644495964,-0.0011423021787777543,-0.019298870116472244
$\delta$,0.02742742747068405,-0.02044752985239029,-0.0011464240960776806,-0.01930110901594162
$\delta$,0.027527527883648872,-0.0204539243131876,-0.0011505457805469632,-0.01930338144302368
$\delta$,0.027627628296613693,-0.020460357889533043,-0.0011546671157702804,-0.019305691123008728
$\delta$,0.027727726846933365,-0.020466823130846024,-0.0011587878689169884,-0.01930803619325161
$\delta$,0.027827827259898186,-0.02047332376241684,-0.0011629085056483746,-0.019310414791107178
$\delta$,0.027927927672863007,-0.02047986350953579,-0.0011670287931337953,-0.01931283436715603
$\delta$,0.028028028085827827,-0.02048642933368683,-0.0011711487313732505,-0.01931528002023697
$\delta$,0.02812812849879265,-0.020493032410740852,-0.0011752682039514184,-0.01931776851415634
$\delta$,0.02822822891175747,-0.02049967460334301,-0.0011793875601142645,-0.019320286810398102
$\delta$,0.02832832746207714,-0.020506354048848152,-0.0011835064506158233,-0.019322846084833145
$\delta$,0.02842842787504196,-0.020513063296675682,-0.0011876248754560947,-0.019325438886880875
$\delta$,0.028528528288006783,-0.020519809797406197,-0.0011917430674657226,-0.01932806335389614
$\delta$,0.028628628700971603,-0.020526589825749397,-0.0011958611430600286,-0.01933073066174984
$\delta$,0.028728729113936424,-0.020533405244350433,-0.0011999785201624036,-0.019333425909280777
$\delta$,0.028828829526901245,-0.020540248602628708,-0.0012040957808494568,-0.01933615654706955
$\delta$,0.028928928077220917,-0.020547136664390564,-0.001208212343044579,-0.019338924437761307
$\delta$,0.029029028490185738,-0.020554056391119957,-0.001212329021655023,-0.01934172958135605
$\delta$,0.02912912890315056,-0.020561007782816887,-0.0012164452346041799,-0.019344564527273178
$\delta$,0.02922922931611538,-0.020567994564771652,-0.0012205609818920493,-0.019347436726093292
$\delta$,0.0293293297290802,-0.02057502046227455,-0.0012246764963492751,-0.019350342452526093
$\delta$,0.02942943014204502,-0.020582078024744987,-0.0012287914287298918,-0.019353287294507027
$\delta$,0.029529528692364693,-0.02058916538953781,-0.0012329064775258303,-0.01935626193881035
$\delta$,0.029629629105329514,-0.020596293732523918,-0.0012370205949991941,-0.019359271973371506
$\delta$,0.029729729518294334,-0.020603450015187263,-0.0012411348288878798,-0.0193623136729002
$\delta$,0.029829829931259155,-0.020610645413398743,-0.0012452485971152782,-0.019365396350622177
$\delta$,0.029929930344223976,-0.02061787061393261,-0.0012493622489273548,-0.01936851069331169
